Topic,Words
Topic 38,"environmental_regulation, environmental, environmental_protection, green_utility, gti, enterprise, digital_finance, proportion_of_global, enterprise_gti, green"
Topic 39,"green_technology, cep, carbon_emission_performance, esg, rdfs, esg_performance, sustainable_green, protection_tax, yrd, ntu"
Topic 40,"patentable_subject, supreme_courts, matter_jurisprudence, technological_neutrality, sequence_datum, personal_genomic, principle_of_neutrality, tcm, neutrality, personality"
Topic 41,"halfcausation, suigenericide, soft_ip, firsttofile, imaginary, copyright_trademark, philosophical_model, alternative_nearby, firsttoinvent, life_table"
Topic 42,"separate_opinion, icj, family_control, utsa_associate, cybersecurity_risk, corporate_entity, predict_probability, declaration, family_firm, iii_of_treaty"
Topic 43,"tariff, international_trade, bilateral_trade, national_flexibility, international_criminal, trade, trade_agreement, deportation, fet, needsbased_hierarchy"
Topic 44,"source_disclosure, um, outlicense, lot_offer, game_conclusion, closing_price, depreciation, startup, examination_authority, firstmover_advantage"
Topic 45,"triulzi, finland, predictor, examination_outcome, patentlevel, illustrate_substantial, unanticipated_reversal, average_return, propose_broadening, indicator_inform"
Topic 46,"claim_construction, postaipa, parent_application, central_claiming, accession, aipa, 103, technological_geographical, claim, technological_crowdedness"
Topic 47,"disclosure_obligation, disclose_knowledge, secrecy, gsd, genetic, incompatibility, public_privilege, recognize_structural, trade_secret, disclosure_requirement"
Topic 48,"stock_price, standard_nondisclosure, crash_risk, concept_learning, datum_breach, extend_nondisclosure, bounty, bounty_claim, demonstrate_unintended, firsttofile_highlight"
Topic 49,"legal_form, debt_financing, female_male, innovative_firm, low_capital, eu13_develop, eu14_develop, lender, expenditure_disclosure, asymmetry"
Topic 50,"ip_commercialisation, export, ip_treaty, linkage_mechanism, knowhow_reputation, key_laboratory, exporter, georgia, de_jure, human_resource"
Topic 51,"supplier, entrepreneurship, formal_appropriability, emotional_behavioral, organizational_performance, appropriability_mechanism, learning, innovation_performance, parentchild_attachment, emotional_insecurity"
Topic 52,"administrative_procedural, patent_enforcer, positive_association, constructive_notice, litigation_explosion, llc, tc_heartland, pregrant_patent, ebay, notice"
Topic 53,"trademark, tm_logo, conceptual_separability, stable_outcome, transfer_learning, protect_consumer, video_game, trademark_owner, pto, registration"
Topic 54,"computer_program, chomsky, bulletproof_vest, registry, source_code, intellectual, physicalism, properly, property, g20"
Topic 55,"technical_feature, solicitor, earnout, grantback_clause, enforcement_stage, catchphrase, technical_solution, covenant_sue, light_of_principle, placing"
Topic 56,"designs_patents, 1988, aigenerate_output, enumerate_category, instruction, public_domain, authorship, repeal, literary, 15"
Topic 57,"subsidy, patent_breadth, strong_debtor, corporate_tax, monetary_policy, growth_welfare, coordination_requirement, inflation, labor_supply, inequality"
Topic 58,"technical_phrase, keyword, shale_gas, knowledge_exploration, query, main_path, deep_learning, topic_change, effort_variable, text_mining"
Topic 59,"ith_region, incumbent, cross_licensing, piracy, costreduce_innovation, unit_royalty, taxsubsidy_scheme, collusion, antitrust, ifs"
Topic 60,"intercultural_proximity, country_image, social_fragmentation, ipr, ipr_protection, south, mnes, ntpu, tolerance_acceptance, country"
Topic 61,"cash_holding, foreign_subsidiary, mnc, subsidiary, subsidiary_board, foreign_cash, cbas, expatriate_ceo, antidumpe_investigation, multinational_corporation"
Topic 62,"university, university_patenting, commercialization_of_academic, academic_promotion, spinoff, academic, universityindustry_collaboration, commercialization_of_university, incubator, commercial_orientation"
Topic 63,"st, firm_engagement, government_scientist, scientific_discovery, academic_scientist, camelina, science_linkage, science_technology, government_funding, replicability"
Topic 64,"pledge, trust_equity, core_competence, evaluation_purpose, human_inventorship, evaluation_process, maximize, planning, trust, foresight_bias"
Topic 65,"federal_circuit, judge, supreme_court, district_court, court, litigation, plaintiff, courts, adjudication, administrative_law"
Topic 66,"patent_schism, hybrid_pae, hybrid_paes, pto, lowvalue, patent_privateer, nuisance, newuse_patent, earlystage, court_scholar"
