keywords,len
PROPERTYRIGHTS,1
,1
INTELLECTUAL PROPERTY,2
TRADE SECRETS,2
HUMANGENOME,1
LAW,1
ECONOMICS,1
PROTECTION,1
SEARCH,1
SCOPE,1
ASSOCIATION,1
COMPETITION,1
,1
,1
Technology transfer,2
BayhDole,1
Law,1
Patents,1
Legal research,2
PATENTS,1
KNOWLEDGE,1
,1
,1
Patent Law,2
Whacker oxidation,2
double patenting,2
electrochemically mediated,2
terminal disclaimer,2
,1
,1
,1
,1
MIXED QUESTIONS,2
,1
INNOVATION,1
,1
,1
Patent strategy,2
Patent law expertise,3
Patenting performance,2
Intellectual property,2
RESEARCHANDDEVELOPMENT,1
INTELLECTUAL PROPERTY,2
TEAM DIVERSITY,2
INNOVATION,1
FIRM,1
STRATEGIES,1
MANAGEMENT,1
ADVANTAGE,1
SUPPLIER,1
ENTREPRENEURSHIP,1
Universityowned patents,2
academicinvented patents,2
patent quality,2
patent management,2
patent value,2
technology transfer,2
TECHNOLOGYTRANSFER,1
INNOVATION,1
ENTREPRENEURSHIP,1
INVENTION,1
QUALITY,1
OPPOSITION,1
OWNERSHIP,1
ACT,1
,1
,1
online patent infringement,3
China new patent law,4
notice and takedown rule,4
liability of ecommerce platform,4
liability of application distribution platform,5
,1
Patents,1
Inventions,1
Realism,1
Antirealism,1
Nature,1
Causation,1
ANTICOMMONS,1
Indonesian Patent Law,3
innovation,1
International Patent Law,3
technology transfer,2
TRIPs Agreement,2
,1
,1
,1
Unified patent court,3
European unitary patent,3
European patent convention,3
patent itigation,2
European patent system,3
,1
HatchWaxman Act,2
Infringement,1
Patent dance,2
Patents,1
Litigation,1
Inter Partes Review,3
BPCIA,1
,1
,1
,1
,1
C VIRUSINFECTION,2
NATIONALHEALTH,1
SOFOSBUVIR,1
PROGRAMS,1
ACCESS,1
food and drug law,4
intellectual property,2
,1
,1
,1
,1
RESEARCHANDDEVELOPMENT,1
TECHNOLOGY VENTURES,2
EMPIRICALEVIDENCE,1
PRODUCT,1
PERFORMANCE,1
CHINA,1
INDICATORS,1
BUSINESS,1
STRATEGY,1
ORGANIZATIONS,1
,1
STANDARDS,1
debtor protection,2
credit markets,2
innovation,1
patents,1
personal bankruptcy law,3
small businesses,2
RESEARCHANDDEVELOPMENT,1
BANKRUPTCY REFORM ACT,3
PERSONAL BANKRUPTCY,2
SMALL FIRMS,2
ENTREPRENEURSHIP,1
CONSTRAINTS,1
FINANCE,1
GROWTH,1
genetic resources,2
TRIPs Agreement,2
Convention on Biological Diversity,4
patent,1
disclosure of origin,3
,1
Democratic Peoples Republic of Korea,5
Invention,1
Patent,1
Utility model,2
,1
Patent litigation,2
Patent quality,2
University patents,2
BAYHDOLE ACT,2
QUALITY,1
INNOVATION,1
DETERMINANTS,1
TECHNOLOGY,1
OPPOSITION,1
OWNERSHIP,1
ENTITIES,1
TROLLS,1
,1
HOLDUP,1
Bayhdole act,2
Patents,1
University innovation,2
TECHNOLOGYTRANSFER,1
INCENTIVES,1
,1
,1
,1
SOCIAL CONSTRUCTION,2
COMPUTERSCIENCE,1
WOMEN INVENTORS,2
PROPERTY,1
BIOPIRACY,1
MOTHERS,1
WORK,1
GAP,1
CAFC,1
entry,1
patent law,2
patent strategy,2
strategic patents,2
INTELLECTUAL PROPERTYRIGHTS,2
INNOVATION,1
IMPACT,1
TECHNOLOGY,1
STRATEGIES,1
THICKETS,1
COURTS,1
ENTRY,1
FIRMS,1
,1
,1
,1
FEDERAL CIRCUIT,2
SUBJECTMATTER,1
COURT,1
RULES,1
LITIGATION,1
SETTLEMENT,1
SELECTION,1
DOCTRINE,1
DISPUTES,1
TROLLS,1
,1
DISCOVERY,1
PATENTS,1
SCIENCE,1
DRUGS,1
,1
,1
Intellectual Property,2
Patent,1
Innovation,1
Radiopharmaceuticals,1
Nuclear medicine,2
DRUG DEVELOPMENT,2
REGULATIONS,1
PROTECTION,1
GUIDELINE,1
,1
,1
,1
US PATENT,2
LAW,1
,1
MERGERS,1
FIRMS,1
TAKEOVER,1
RETURNS,1
,1
INTELLECTUAL PROPERTY,2
CIRCUIT,1
JUDICIARY,1
ECONOMICS,1
LAW,1
,1
PATENTS,1
,1
,1
,1
,1
,1
HISTORY,1
PATENTS,1
,1
FEDERAL CIRCUIT,2
EXCEPTIONALISM,1
SYSTEM,1
Copyrights,1
Technology transfer,2
BayhDole Act,2
Intellectual property,2
Knowledge exchange,2
Law,1
Patents,1
Legal research,2
INNOVATION,1
ENTREPRENEURSHIP,1
PROPERTY,1
Copyright,1
Copyright Act of 1976,4
Federal agencies,2
Federal laboratories,2
Federal Technology Transfer Act of 1986,6
Governmentowned contractoroperated GOCO laboratories,4
Governmentowned governmentoperated GOGO laboratories,4
Government Works software,3
Invention licenses,2
Patents,1
Software,1
Software copyrights,2
Software licenses,2
Software patents,2
Technology transfer,2
,1
Main path analysis,3
Clustering,1
Research theme,2
Development trajectory,2
Citation network,2
Patenting,1
BAYHDOLE ACT,2
INTELLECTUAL PROPERTYRIGHTS,2
KNOWLEDGE FLOWS,2
EMERGING TECHNOLOGIES,2
COMMUNITY STRUCTURE,2
SCIENTIFICRESEARCH,1
NETWORKS,1
QUALITY,1
POLICY,1
UNIVERSITIES,1
,1
,1
,1
LAW,1
CENSUS,1
RACE,1
FREEDOM,1
PATENTS,1
ACCESS,1
SYSTEM,1
RIGHTS,1
Patent disclosure,2
Innovation,1
Spillovers,1
Proprietary costs,2
Corporate disclosure,2
PUBLICATION,1
PROPRIETARY,1
INFORMATION,1
DIFFUSION,1
ECONOMICS,1
SHOULDERS,1
GIANTS,1
MARKET,1
,1
FEDERAL CIRCUIT,2
INTELLECTUAL PROPERTY,2
PHOTOCOPIES,1
LITIGATION,1
CERTIORARI,1
SYSTEM,1
POLICY,1
RETURN,1
LIFE,1
BAR,1
,1
ADMINISTRATIVEPROCEDURE ACT,2
PATENT,1
COURTS,1
RULEMAKING,1
HEARINGS,1
CHOICE,1
POLICY,1
LAW,1
,1
,1
National scientific research institutions,4
technology transfer efficiency,3
patent,1
technology transfer law,3
comparative study,2
US,1
GROWTH,1
POLICY,1
patent litigation,2
nanotechnology,1
patent thickets,2
United States Patent and Trademark Office,6
American Intellectual Property Law Association,5
reexamination proceedings,2
,1
patent law,2
intellectual property,2
Konami,1
slot device patents,3
,1
patent law,2
Edmund Burke,2
James Watt,2
Richard Champion,2
patent history,2
steam engine,2
porcelain,1
,1
,1
INTELLECTUAL PROPERTY,2
PUNITIVE DAMAGES,2
ANTICOMMONS,1
REQUIREMENT,1
RETHINKING,1
UTILITY,1
TROLLS,1
HOLDUP,1
LEVERS,1
RULES,1
FRAND,1
Standardessential patents,2
Data sharing,2
Data Act,2
Digital Markets Act,3
LIABILITY RULES,2
PROPERTY,1
employee patent rights,3
intellectual property,2
service patents,2
case law,2
employee inventions,2
France,1
innovation,1
ownership,1
,1
,1
PATENTS,1
INNOVATION,1
,1
,1
,1
LIABILITY RULES,2
PROPERTY,1
SHADOW,1
HOLDUP,1
LAW,1
Patent antitrust,2
Patent monopoly,2
False positives,2
False convictions,2
False negatives,2
False acquittals,2
Error costs,2
Ratio tests,2
ELASTICITY,1
DEMAND,1
,1
,1
patents,1
history,1
Switzerland,1
chemical industry,2
product patents,2
process patents,2
patent scope,2
,1
,1
,1
Counterfeit products,2
Indonesian trademark law,3
Intellectual property law,3
,1
aesthetic creations,2
art,1
patents,1
,1
intellectual property IP,3
strategic intellectual property management,4
intellectual property portfolio,3
patent,1
trade secret,2
copyright,1
trademark,1
patent thicket,2
patent clearance,2
Patent Cooperation Treaty PCT,4
America Invents Act AIA,4
IP acquisition,2
IP portfolio strategies,3
,1
Germany,1
patent law,2
compulsory license,2
,1
Patent,1
blockchain,1
smart contract,2
Hyperledger fabric,2
,1
geneedited crop,2
GMO,1
patent,1
EU,1
INTELLECTUAL PROPERTY,2
GENOME,1
CRISPR,1
LEGISLATION,1
TECHNOLOGY,1
PRODUCTS,1
POLICY,1
Discrete pareto analysis,3
Patent landscape,2
Zipfs law,2
Benchmark,1
Consolidation,1
Fragmentation,1
,1
,1
TECHNOLOGYTRANSFER,1
PATENTS,1
Patent law,2
Multilevel model,2
Patentability,1
Inventorship,1
Industry 40,2
4th industrial revolution,3
,1
,1
,1
Agreement on a Unified Patent Court,6
European patent litigation,3
European Patent Law Agreement,4
European patent jurisdiction,3
Rules of procedure,3
Brexit,1
Constitutional law issues,3
,1
Distribution of corporate innovative output,5
Powerlaw distribution,2
Simple patent count,3
Qualityadjusted patent count,3
RESEARCHANDDEVELOPMENT,1
SIZE DISTRIBUTION,2
CITATION NETWORK,2
MARKET VALUE,2
FIRM LEVEL,2
ZIPFS LAW,2
FLUCTUATIONS,1
STATISTICS,1
PARETO,1
CITIES,1
,1
,1
data,1
gene patents,2
genetic resources,2
genomics,1
patents,1
TCF7L2,1
LANDSCAPE,1
VARIANT,1
INFORMATION,1
PROGRESS,1
HISTORY,1
UNESCO,1
nationalism,1
multinational intangible heritage,3
Greece,1
Turkey,1
CULTURALHERITAGE,1
POLITICS,1
,1
,1
,1
INTELLECTUAL PROPERTY,2
,1
PUNITIVE DAMAGES,2
LIABILITY,1
Patents,1
intellectual property,2
technology,1
innovation,1
methodology,1
INTELLECTUAL PROPERTY,2
PATENTLAW,1
INNOVATION EVIDENCE,2
EARLY HISTORY,2
INVENTIONS,1
INVENTORS,1
SOFTWARE,1
EXCHANGE,1
SCIENCE,1
MODELS,1
Patents,1
Patent ethics,2
biotechnology,1
novel beings,2
morality provisions,2
European patent law,3
,1
synthetic biology,2
patent,1
gene patent,2
biotechnology,1
Myriad,1
Venter,1
,1
,1
FEDERAL CIRCUIT,2
LAW,1
RETURN,1
intellectual property protection,3
patent litigation,2
Beijing courts,2
inadequate enforcement,2
trade war,2
discrimination,1
damage,1
LAW,1
Patents,1
Innovation,1
Uncertainty,1
Regulation,1
Utility patents,2
Patent applications,2
Patent grants,2
Pendency,1
United States,2
POLITICAL UNCERTAINTY,2
INVESTMENT,1
US,1
,1
RESEARCHANDDEVELOPMENT,1
INTELLECTUAL PROPERTY,2
ECONOMICS,1
LITIGATION,1
RENEWAL,1
IMPACT,1
LAW,1
,1
,1
patents,1
intellectual property law,3
access to medicine,3
prenatal testing,2
genetic testing,2
special issue,2
,1
computational media,2
digital mediation,2
intangibles,1
intellectual property,2
inventions,1
materiality,1
patent law,2
,1
,1
PROPERTY,1
ANTICOMMONS,1
LAW,1
Biotechnology directive,2
Bioeconomy,1
Patent laws,2
Stem cells,2
Plant varieties,2
Animal varieties,2
European Union,2
,1
,1
,1
pharmaceutical patent,2
patent term compensation system,4
China s path,3
,1
patents,1
technology transfer,2
biotechnology,1
innovation,1
drug development,2
GOVERNMENT,1
UNIVERSITIES,1
INNOVATION,1
PATENTS,1
GROWTH,1
Convention on biological diversity,4
Biopiracy,1
Legal geography,2
Text mining,2
Endemic species,2
Patent analysis,2
INTELLECTUAL PROPERTYRIGHTS,2
TRADITIONAL KNOWLEDGE,2
GENUS,1
CLASSIFICATION,1
CONSERVATION,1
BIODIVERSITY,1
INNOVATION,1
PLANTS,1
competition law,2
standard essential patents,3
,1
,1
,1
shareholder litigation,2
innovation,1
patents,1
derivative lawsuit,2
DERIVATIVE LITIGATION,2
AGENCY COSTS,2
CASH FLOW,2
LAW,1
GOVERNANCE,1
FINANCE,1
MERITS,1
EQUITY,1
IMPACT,1
MATTER,1
,1
,1
,1
FEDERAL CIRCUIT,2
LAW,1
CERTIORARI,1
JUSTICES,1
,1
,1
,1
,1
,1
INTELLECTUAL PROPERTYRIGHTS,2
REPRODUCIBILITY,1
QUALITY,1
REPLICATION,1
LITIGATION,1
STANDARDS,1
DISEASE,1
COULD,1
DRUGS,1
MADEY,1
Standardessential patents,2
Competition law,2
Innovation,1
Internet of Things,3
Huawei,1
Interim measures,2
COMPETITION LAW,2
TECHNOLOGIES,1
,1
STATUTORY INTERPRETATION,2
COMMONLAW,1
PATENT,1
RULEMAKING,1
CHEVRON,1
DEFERENCE,1
POWER,1
ACT,1
OSSIFICATION,1
DELEGATION,1
,1
ACT,1
LAW,1
,1
INTELLECTUAL PROPERTYRIGHTS,2
UTILITY REQUIREMENT,2
ECONOMICS,1
RETHINKING,1
SCIENCE,1
NORMS,1
LAW,1
INFRINGEMENT,1
DISCLOSURE,1
INNOVATION,1
,1
PATENT,1
PROPERTY,1
Human embryonic stem cell,4
14day limit,2
patent law,2
China,1
TRIPS,1
,1
,1
,1
EUROPEANPATENT,1
TRADITIONAL KNOWLEDGE,2
STEMCELLS,1
PATENTABILITY,1
COURT,1
LAW,1
INVENTIONS,1
DECISION,1
JUSTICE,1
TRIPS,1
,1
FEDERAL CIRCUIT,2
SUPREMECOURT,1
PATENTLAW,1
ATTORNEYS FEES,2
APPEALS,1
RECOVERY,1
ACT,1
Globalization,1
Transnational Law,2
Equality Law,2
Arbitration,1
JudgeMade Law,2
,1
,1
,1
,1
INTELLECTUAL PROPERTY,2
PHILOSOPHY,1
COPYRIGHT,1
LAW,1
,1
,1
,1
PROTECTION,1
PROPERTY,1
REACH,1
collusion,1
auction,1
bidding,1
competition law,2
rule of reason,3
social welfare,2
BIDDER COLLUSION,2
PATENT HOLDUP,2
Patents,1
trade secrets,2
single innovation,2
innovation output,2
RESEARCHANDDEVELOPMENT,1
EMPIRICALEVIDENCE,1
OPENNESS,1
PERFORMANCE,1
SPILLOVERS,1
DISCLOSURE,1
STRATEGY,1
THICKET,1
SHADOW,1
LAW,1
,1
FECAL MICROBIOTA TRANSPLANTATION,3
CLOSTRIDIUMDIFFICILE INFECTION,2
INTELLECTUAL PROPERTY NORMS,3
INNOVATION,1
BURDEN,1
INCREASE,1
IMPACT,1
DRUGS,1
FIRMS,1
,1
PATENTS,1
standard essential patents,3
competition law,2
patent infringement,2
FRAND,1
willing licensee,2
injunctive relief,2
,1
patent law,2
knowledge governance,2
gender,1
women,1
STEM,1
INTELLECTUAL PROPERTY,2
SEXDIFFERENCES,1
SCIENCE,1
WOMEN,1
FEMINISM,1
LAW,1
TECHNOLOGY,1
ECONOMICS,1
INVENTION,1
EQUALITY,1
Artificial intelligence,2
Intellectual property law,3
AI,1
DABUS,1
Machine learning,2
Deep learning,2
America Invents Act,3
Text and data mining,4
Neural networks,2
Patents,1
Copyright,1
Trade secrets,2
Software protection,2
,1
Ecommerce platform,2
Patent,1
Liability,1
Ecommerce law,2
China,1
Notice and takedown,3
,1
Patent citations,2
Power law,2
Pareto regression,2
Fixedeffects quantiles regression,3
QUANTILE REGRESSION,2
Gene patents,2
genetic engineering,2
biotechnology,1
patents,1
CoViD19,1
EUROPEANUNION,1
UNITEDSTATES,1
DNASEQUENCES,1
MYRIAD,1
DIAGNOSTICS,1
IMPACT,1
ELIGIBILITY,1
FUTURE,1
LAW,1
US,1
,1
INTELLECTUAL PROPERTY,2
LEGAL CHANGE,2
RETROACTIVITY,1
RULES,1
LAW,1
COMPENSATION,1
TRANSITIONS,1
DEFERENCE,1
BENEFITS,1
TAKINGS,1
,1
,1
National Law,2
Transnational Law,2
Patent Disputes,2
Equitable Arbitration,2
JudgeMade Law,2
,1
Drugs,1
Pricing,1
Patents,1
Evergreening,1
Pharmaceuticals,1
ANTITRUST ANALYSIS,2
ORPHAN,1
PATENTS,1
POLICY,1
LAW,1
INCENTIVES,1
PROPERTY,1
LIFE,1
ACT,1
US,1
,1
UNITARY PATENT,2
TRANSITION,1
PROPERTY,1
SYSTEM,1
Antitrust regulation,2
Innovation,1
Intellectual property,2
Opensource software,2
Patent market,2
Patent transfer,2
INTELLECTUAL PROPERTY,2
MARKET,1
POLICY,1
POOLS,1
COMPETITION,1
TECHNOLOGY,1
TRADEMARKS,1
INDICATOR,1
LESSONS,1
FIRMS,1
patent revocation,2
intellectual property rights,3
NAFTA,1
PCT,1
investment law,2
expropriation,1
FET,1
utility,1
ARBITRATION,1
AGREEMENTS,1
MEDICINES,1
ACCESS,1
RIGHTS,1
,1
NEED,1
LAW,1
patent history,2
pharmaceutical patents,2
compulsory licensing,2
Patents and Designs Bill 1917,5
,1
,1
,1
patent,1
property rights,2
antitrust law,2
anticompetitive practice,2
FTC,1
PROPERTY,1
ANTICOMMONS,1
intellectual property,2
patents,1
BayhDole,1
grants,1
international,1
innovation,1
INTELLECTUAL PROPERTY,2
PUBLIC RESEARCH,2
PHARMACEUTICAL INNOVATION,2
DEVELOPINGCOUNTRIES,1
PATENTS,1
MUTATIONS,1
ACCOUNTABILITY,1
UNIVERSITY,1
RIGHTS,1
DRUGS,1
patent law,2
gene patents,2
purposebound,1
functionbound,1
Biotech Directive,2
EPO,1
Germany,1
Switzerland,1
,1
,1
PATENT,1
ECONOMICS,1
INNOVATION,1
COPYRIGHT,1
MISUSE,1
INCOME,1
Pharmaceutical patents,2
Patent policy,2
Competition law policy,3
,1
Brain patents,2
Neurolaw,1
Neuroethics,1
Human rights,2
Ordre public,2
Misuse,1
,1
,1
COLORECTALCANCER,1
FAIRUSE,1
RISK,1
SUPPLEMENTS,1
INVENTIONS,1
VEGETABLES,1
PARADIGMS,1
BRASSICA,1
SYSTEM,1
Copyright law,2
Patent law,2
Confidential commercial information law,4
Energy efficient innovation,3
And protection of innovation,4
ECONOMICGROWTH,1
COPYRIGHT PROTECTION,2
EMISSIONS,1
CONSUMPTION,1
COUNTRIES,1
PATENTS,1
SECTOR,1
GREEN,1
LINKS,1
FDI,1
,1
INTELLECTUAL PROPERTY,2
EQUITABLE SERVITUDES,2
ANTITRUST,1
MARKET,1
LAW,1
,1
INTELLECTUAL PROPERTYRIGHTS,2
FEDERAL CIRCUIT,2
US PATENT,2
