Article Title,Keywords,Abstract,Publication Year,Research Areas,label
Revisiting the patent regime of Bangladesh: compatibility with TRIPS and international best practices,; ,"Bangladesh inherited the Patents and Designs Act, 1911, from the British and retained it for over a century with no substantial amendments. However, as a least developed country (LDC), Bangladesh will be required to comply with the Trade-Related Aspects of Intellectual Property Rights (TRIPS) Agreement after the expiry of its transitional waiver upon graduation from the LDC status in 2026. Against this backdrop, Bangladesh has enacted a new patent law, the Bangladesh Patents Act, 2022, in an effort to make the local patent provisions responsive to the needs of innovators and con-sumers. This article examines the new patent law to assess its compliance with the TRIPS Agree-ment. To this aim, the article compares the patent pro-visions of the 2022 Act with the patent regime of other developing countries, like India and Brazil, and analyses how these countries use the treaty provisions to meet the interest of intellectual prop-erty owners and users. Lastly, the article suggests some plausible solutions for Bangladesh.",2023,Government & Law,1
Revisiting the working of patent requirements under Indian patent law,local working requirement; TRIPS Agreement; Indian Patent Act; human rights; patent working disclosures; RIGHTS; TRIPS,"This article aims to analyse the working of patent requirements under Indian patent law. A patent working requirement generally entails that the patentee must work or apply the patented product in the patent granting country. This article evaluates the compatibility of the patent working requirement with the TRIPS Agreement from the perspective of international human rights law. A human rights approach suggests that the rights of the patentee must be reconciled with the interests of the general public. In such pursuance, this article argues that there is a need to recalibrate the patent working requirement under the Indian law to strike a right balance between the rights of the patentee and the public interest. Particularly, this article argues that India must modify the present patent working disclosure requirements to ensure that foreign patentees are able to do business in India without bureaucratic hassles.",2021,Government & Law,1
Patent Accidents: Questioning Strict Liability in Patent Law,; INDEPENDENT INVENTION; PROPERTY; RETHINKING; DEFENSE; RULES,"Accidental infringement of patent rights is a pervasive and growing problem in the Information Age. As IP rights proliferate and expand in scope, it is becoming increasingly easy for companies and individuals to inadvertently infringe patents. When such accidental infringement occurs, patent law holds the infringer strictly liable. This contrasts with many areas of tort law where defendants are only liable if they act negligently. This Article questions the normative desirability of strict liability in patent law. Assuming the primary value of patent law is utilitarian, this Article poses the research question: what liability rule will maximize social welfare? This Article answers the question theoretically by applying economic models of accidents developed in tort law literature. The research finds that a negligence rule is preferable. Unlike strict liability, negligence liability will encourage both patentees and technology users to take reasonable measures to prevent accidental infringement, and thus minimize the social cost of patent accidents. Therefore, this Article recommends reforms to the liability rule in direct patent infringement cases. Defendants should be liable for accidental patent infringement only when they fail to adopt reasonable care to avoid the infringement.",2020,Government & Law,1
Incorporating Article 31bis Flexibilities on Trips Public Health into Domestic Patent System: The Inescapable Way Forward for Malaysia,Article 31bis; compulsory licence (CL); Patents Act 1983 (PA); public health flexibilities; TRIPS Agreement; ACCESS,"The main purpose of this study is to highlight the absence of specific provisions on public health under Article 31bis of the TRIPS Agreement that were not incorporated into the Patents Act 1983 in Malaysia. The main research question of this study is; why should Malaysia immediately amend its Patents Act 1983 to incorporate these flexibilities? Malaysia must develop effective strategies to implement policies, law and governance in managing the country's public health system. This is to ensure that the balance of rights between intellectual property owners and the public is maintained at all times. This study employs a qualitative research methodology that is based on primary sources such as the TRIPS Agreement and the Patents Act 1983, and is further supported by secondary sources such as journals and the contents of authorities' websites. This study is limited to the issues related to public health and patents. This study includes a discussion on the provisions related to patents and public health, proposed amendments to the Patents Act 1983 that should incorporate the provisions from Article 31bis, and a conclusion was presented on the importance of immediately amending the Patent Act 1983 to incorporate these provisions, particularly during the current Covid-19 pandemic. This study proposes that the amendments must be made to Section 84 of the Patents Act 1983 with respect to Rights of Government, and not through the compulsory licence mechanism under Part X of the Patents Act 1983. Thus, this study concludes that currently, Malaysia is unable to implement the provisions under Article 31bis, unless the Patents Act 1983 is amended.",2020,International Relations,1
"Protection of patent law objects, created by artificial intelligence (AI) technologies",patent law; invention; patentability; human inventor; artificial intelligence (AI) inventor; ,"The aim of the article is to solve the scientific problem of outlining the issue of protection of patent law objects created using artificial intelligence technologies, and to establish whether it is possible to recognize artificial intelligence technologies as inventor at the present stage of development of legal systems. Philosophical, comparative-legal and system-structural methods were used in the research process. Based on the analysis of the European Patent Convention, the main generally accepted conditions of patentability of the invention are determined: novelty, inventive step, industrial applicability. It has been established that inventions created by artificial intelligence technologies will meet such criteria provided that certain requirements are met. In the context of the study, the case of the invention of artificial intelligence DABUS is analyzed and the results of its consideration in the European Patent Organization, the United Kingdom and the United States are summarized. In particular, it has been established that artificial intelligence technologies are currently not considered as inventors in either the Romano-Germanic or Anglo-Saxon legal systems.",2021,Social Sciences - Other Topics,1
Compulsory Licenses of Patented Inventions in Iranian Law,Compulsory Licenses; Patent Rights; Public interests; Balance of Interests; Iranian Law; ,"Compulsory licenses of patented inventions are recognized in Iranian law. The issuance of such licenses is subject to the occurrence of exceptional cases of preserving national security, public health or development of other vital-economic sectors of the country. Additionally, they are a remedy for anticompetitive practices and where the exploitation of an invention depends on another prior invention, a compulsory license may be issued in favor of the second inventor. An examination of the conditions of granting compulsory licenses indicates the Iranian legislator's attempt to deal with extraordinary circumstances at the national level while respecting the innovators' rights and that such licenses are a means to make a balance between the society's right to be safe, stable and secure and the patent holders' rights to exploit their inventions. The results of this descriptive-analytical study show that, as far as compulsory licenses of inventions are concerned, the Iranian law is in accordance with the provisions of the Paris Convention and the TRIPS Agreement.",2023,Government & Law,1
Inventive Indians: Technological Imaginaries and Patenting Activity in Late Colonial India (1911-48),Colonialism; India; innovation; patent; science; technology; LAW; COPYRIGHT; MEDICINE; DESIGNS,"The Patent Act extended to colonial India in 1859 introduced to Indians the right to file a patent for an invention. The article locates India as a site for invention and innovation, not by looking at the legal evolution of the law or the inventions themselves, but at the Indian patentees' engagement with the law. The consistent but small number of Indian patentees is suggestive of patent-filing being a form of sustained engagement with technological modernity. The establishment of a Patent Office completed the bureaucratic structure and was an intrinsic part of the development of India as a technocratic and scientific state. Examining the nature of this colonial institution, the paper examines a parallel process which shaped patenting: Indianisation. The colonial policy of Indianisation shaped Indians' access to employment and research in technical institutes. This had two visible but discrete consequences: in the number of Indian employees whose patents were acquired by the government, and the creation of a notable 'patent culture' with the Patent Office in Calcutta as a site and headed by an Indian. The paper uses the patent law as an axis to illuminate conversations around inventive activity in colonial India.",2024,Area Studies; History; Asian Studies,1
"Minerva Surgical, Inc. v. Hologic, Inc. Supreme Court of the United States, 2021 141 S.Ct. 2298",; ,"The question presented in this case is whether the judge-made doctrine of assignor estoppel,which limits an inventor's ability to assign a patent to another for value and later contend in litigation that the patent is invalid, is still good law. A five-Justice majority held that the doctrine is still good law, but went on to clarify that it reaches only so far as the equitable principle long understood to lie at its core.The Court clarified that the doctrine only applies when the assignor's claim of invalidity contradicts explicit or implicit representations he made in assigning the patent. The Court provides the following examples of when the doctrine does not apply: (1) when the assignment occurs before an inventor can possibly make a warranty of validity as to specific patent claims, e.g., an employee assigns to his employer patent rights in any future inventions he develops during his employment, and the employer then decides which, if any, of those inventions to patent; (2) when a later legal development renders irrelevant the warranty given at the time of assignment, e.g., the governing law changes in a manner that renders previously valid patent claims invalid; and (3) when an inventor assigns a patent application, rather than an issued patent, and the patent claim that ultimately issues is materially broader than the claims appearing in the originally assigned application. The case was remanded for the Federal Circuit to address whether the patent owner's new claim is materially broader than the ones the inventor assigned. Justice Alito filed a dissenting opinion arguing that the writ should have been dismissed as improvidently granted. Justice Barrett (with whom Justices Thomas and Gorsuch joined) filed a dissenting opinion arguing that assignor estoppel was abrogated by the Patent Act of 1952. These Justices argue that that the Patent Act of 1952 does not incorporate the doctrine, and point out that the Court lacks authority to develop federal common law on the subject. This decision is the subject of a Holman Report in this edition of Biotechnology Law Report.",2021,Biotechnology & Applied Microbiology,1
"Mexican Patent Litigation, International Intellectual Property Treaties and the Extension of Patent Term of Protection",Patent Litigation; PCT; National Treatment; Mexico; USMCA; NAFTA; ,"This article analyzes how the provisions on patent term adjustments contained in the new United States-Mexico-Canada Trade Agreement (USMCA) will be problematic for Mexico. To illustrate this point, the article revisits a patent litigation in Mexico. The plaintiff was a Japanese company who was suing over the infringement of its rights by a Mexican Lab. In this case, Transitional Article Twelve of the Mexican Industrial Property Act was applied to recognize a priority filing date seven years later than its original filing in Japan. The litigation involved several issues such as the extension of the term of protection and the alleged infringement by the defendant after the authorities had extended the term of the patent. There are several principles and concerns discussed, including the principle of patent independence, national treatment, and minimum term of protection, all of which are contained in the Paris Convention, the TRIPS Agreement, and the Patent Cooperation Treaty.",2020,Government & Law,1
The Failure of a Pure Patent Market,patent; asset class; market intermediary; convention; regulation; INTELLECTUAL PROPERTY-RIGHTS; TECHNOLOGY; TROLLS; BROKERS; FIRMS,"This paper presents an analysis of the movement to make patents a new asset class, and its relative failure. Our thesis is that this creation is largely dependent on the construction of a market devoted to transactions in patents, and not just in technology licenses, and on the emergence of new intellectual property intermediaries akin to finance, whose activity must nevertheless be regulated. Our analysis is based on the various patent valuation conventions that underpin its institutionalization and the variety of its uses.",2023,Business & Economics,1
Reconsidering Conflicts over Gene Patents in View of Taiwan Patent Law,gene patent; compulsory license; Myriad; research exemption; Taiwan Patent Act; patient access; patent eligibility; ,"This article discusses the legal and policy issues arising out of gene patents in light of the United States Supreme Court's Myriad decision. There are alternatives to an outright ban on all gene patents. This article proposes recommendations to accommodate the competing interests of patient access to beneficial technologies and gene patenting. In order to balance the competing interests of encouraging innovation while making gene-based medical treatment more accessible, a research exemption from patent infringement and compulsory licensing of a gene patent is suggested by referring to the Taiwan Patent Act. These solutions would ensure scientists and other groups the opportunity to use gene-related patents for the public interest or noncommercial purposes. The research exemption enables research on patented genes without the risk of being held liable for infringement, thereby promoting further advancement in the gene-related industry. The framework of a compulsory license ensures patient access to genetic treatment. These solutions, on the one hand, solve primary concerns surrounding gene patents, and on the other hand, maintain gene patent protection and the incentives needed to promote the progress of gene-related technologies.",2020,Biotechnology & Applied Microbiology,1
"UNDERSTANDING INTELLECTUAL PROPERTY: EXPRESSION, FUNCTION, AND INDIVIDUATION",; COPYRIGHT PROTECTION; COMPUTER-PROGRAMS; FAIR-USE; ART; LAW,"Underlying the fundamental structure of intellectual property law specifically, the division between copyright and patent law - are at least two substantive philosophical assumptions. The first is that artistic works and inventions are importantly different, such that they warrant different legal systems: copyright law on the one hand, and patent law on the other. And the second is that particular artistic works and inventions can be determinately individuated from each other, and can thereby be the subjects of distinct and delineated legal rights. But neither the law nor existing scholarship provides a comprehensive analysis of these categories, what distinguishes them, or why their distinctions should matter to law. This Article seeks to substantiate and unify these assumptions, taking the most striking doctrinal difference between copyrights and patents as its theoretical starting point: namely, that copyright law has an independent creation defense while patent law does not. Endeavoring to vindicate this doctrinal distinction with a theory of what distinguishes the paradigmatic subject matters of copyrights and patents, this Article defends the view that artistic works are author-individuated, while inventions are structure-individuated. It draws on philosophical thinking, thought experiments, and existing practices surrounding expression and functionality to argue that, although two distinct inventive acts can result in the very same invention, two distinct acts of authorship - even ones resulting in works that are structurally identical - cannot result in the very same artistic work, because the identity of the author in part makes the work what it is. The Article explains how these individuation theses vindicate, not just copyright and patent law's differential treatment of independent creation, but other core features of intellectual property's defining bifurcation, and then goes on to analyze the theses' implications for different theories of what justifies intellectual property rights. Finally, the Article explores aspects of existing law that might be in tension with this conception of artistic works and inventions and thus ought to be revised to better reflect and incorporate it, if the individuation theses are indeed getting things right.",2023,Government & Law,1
THE BROKEN PROMISE DOCTRINE: ASTRAZENECA CANADA INC V APOTEX INC AND THE FUTURE OF PHARMACEUTICAL PATENTS,; ,"In AstraZeneca Canada Inc v Apotex Inc, the Supreme Court of Canada abolished the so-called promise doctrine in patent law. Large pharmaceutical companies that sought greater patent protections through litigation routinely mischaracterized the promise doctrine. To demonstrate that mischaracterization, this case comment begins by examining historical and international perspectives that informed the Supreme Court's decision. !is paper then turns to a critical yet subjective element of the decision: the analysis of the meaning and purpose of use and useful in the Patent Act. The reasons for the decision are then considered against the advantages that more stringent utility requirements oer to both patent law and the pharmaceutical industry. This paper concludes with the recent legacy of the decision and recommendations for why and how the courts might seek a middle ground for utility promises in patents.",2022,Government & Law,1
PATENTABILITY OF BIOTECHNOLOGY INVENTIONS: Indian Ethical Guidelines,Biotechnology Inventions; Patents; Ethics; Morality; ICMR; Bioethics Principle; Patent Protection; Public Order; ,"Advances in technology have made patenting of biotechnology inventions mandatory. The patent law system contains general clauses prohibiting the patenting of inventions contrary to public order or morality. Recent years have brought numerous debates on limiting the possibility of patent protection for biotechnology inventions for ethical reasons. The existing literature examines bioethical justification in terms of the principles of respect for autonomy, non-maleficence, beneficence and justice. The primary purpose of this study is to explore the uncertainty of ethics guidelines provided by the Indian Council of Medical Research (ICMR) and section 3(b) of the Indian Patents Act 1970 and the applicability of the bioethics principles.",2023,Religion,1
Toward a Centralized Hatch-Waxman Venue,; ACT,Pharmaceutical litigation often begins when a generic drug company files an application to have its generic drug approved by the FDA. That application is re-ceived by the FDA in the District of Maryland. To submit  it is a statutory act of patent infringement under the Hatch-Waxman Act. Establishing venue in subse-quent Hatch-Waxman litigation can be complex because Hatch -Waxman litigation often involves simultaneous and independent lawsuits against many generic applicants. A Hatch-Waxman plaintiff might reasonably attempt to consolidate litigation in a single district court; Hatch-Waxman defendants might reasonably resist consolidation in the plaintiff's preferred venue. Recent Supreme Court and Federal Circuit case law has narrowed venue options for Hatch-Waxman plaintiffs. This Comment argues for an interpretation of Hatch-Waxman's statutory act of patent infringement and the patent venue rules that moves toward a central-ized venue for Hatch-Waxman litigation in the District of Maryland.,2022,Government & Law,1
FAIR USE IN ORACLE: PROXIMATE CAUSE AT THE COPYRIGHT/PATENT DIVIDE,; TORT LAW; PROPERTY,"In Oracle America, Inc. v. Google LLC, the Federal Circuit undermined copyright law's deference to patent law and, in doing so, delivered a blow to both regimes. Copyright's deference to patent law-including a historic refusal to enforce rights that might undermine the public's liberty to copy unpatented inventions-is a necessary part of preserving inventors' willingness to accept the short duration, mandatory disclosure, and other stringent bargains patent law demands. Deference to patent law is also integral to copyright law's interior architecture; copyright's refusal to monopolize functional applications of creative work lowers the social costs that would otherwise be imposed by copyright's ease of acquisition and long duration. If patent law refuses to protect a functional device or other innovation (perhaps because its patent has expired or because the innovation would be obvious to anyone skilled in the field), various copyright doctrines make it difficult for an eager claimant to use copyright law instead. These doctrines act like fences. For example, under 17 U.S.C. 102(b), copyright cannot extend to ideas or to any procedure, process, system, [or] method of operation. This prohibition applies regardless of the copyrighted form in which the idea, procedure, process, or method appears. Therefore, the public violates no copyright duties when it copies, say, ideas about how to improve the manufacture of steel from a copyrighted instruction manual or video. If the creator of the manufacturing idea wants protection for it, the inventor needs to look to patent law. Similarly, although copyright can subsist in drawings of a useful article, 17 U.S.C. 113(b) and the case law disable those copyrights from giving any rights to keep others from making or selling the article. Say the inventors of an automobile engine with improved fuel efficiency want to restrain others from building and selling copycat engines. To restrain such functional copying, the inventors get no mileage out of the copyrights that subsist in their blueprints. Rather, to stop competitors from building and selling the new engine, the inventors must seek the protection of patent law. Under yet another statutory rule, 17 U.S.C. 101, sculptured shapes that have an intrinsic utilitarian function that is not merely to portray the appearance of the article or to convey information are not copyrightable unless their aesthetic and functional components are separable. The instant Article discusses these and other limits on copyright law. Their overall impact is to emphasize the importance Congress and the courts give to preventing copyright law from directly or indirectly competing with patent law, or undermining the choices Congress embedded in the patent statute. Computer-program copyrights were intended to protect a programmer's expression, not their engineering ingenuity. As technology poses new challenges, separate intellectual property laws need to keep congruent with the separate purposes each serves. The Supreme Court has granted certiorari in Oracle, allowing the Court to evaluate a judicial opinion that this Article argues ignored these first principles. A need for congruence (or fit) is recognized in most areas of civil liability. For example, in enforcing the Clayton Act, the Supreme Court honored the need for congruence by creating a doctrine it called antitrust injury to limit liability. The common law of torts generally employs the doctrine called proximate cause to similarly assure fit between the facts of a given case and the law's purposes. In copyright law, the courts and Congress entrust this familiar but crucial task to fair use. The instant Article employs analogies from antitrust and the common law of torts to reinforce the appropriateness of using the fair use doctrine to keep copyright law in its own yard.",2020,Government & Law,1
Global flows of knowledge: expectations toward transnational regulatory aspects of intellectual property rights in the 20th century chemical industry,Patents; Paris convention; E. Merck; regulation; ,"Legal and global historical research, especially about the German Empire, has identified an increasing tendency to internationalize the rule making of economic and technical contexts. Also the international protection of intellectual property rights made progress, so it seemed. The Paris Convention of 1883 did not harmonize the different national patent regimes, but intended to facilitate the transnational flow of inventions by a coordinated system of application and novelty. The aim of our paper is to show this limited approach of the Paris convention during the decades to come from two angles: The discussion and growing pressure from the part of the German Industry toward joining the convention, and - after 1903 - the concrete dealing with the convention's regulation, highlighted with a case study of the 1930s. It shows in detail the dealings between E. Merck, Darmstadt, and its US counterparts, when it came to secure priority rights in several European countries. The case studies show that an efficient transnational use of inventions could not really be achieved by the Paris convention, but rather by a self-regulative contract and patent management of the actors.",2020,History; Social Sciences - Other Topics; Business & Economics,1
COLLUDING AGAINST A PATENT,; ANTITRUST; LAW; RULE; HOLDUP; REASON; FRAND; GOALS,"The patent system fosters innovation by granting the right to exclude. Since a rightsholder can legally suppress competition and charge monopoly prices, a patent provides a type of antitrust immunity. Even when firms allegedly abuse their exclusive rights through the creation of patent thickets, meritless infringement litigation, or breaching one's FRAND commitment, courts and federal agencies have concluded that antitrust is ill-equipped to discipline patent practices. Without antitrust remedies, firms have banded together against rightsholders to negotiate for better terms. Their strategies have included boycotting abusive patentees, as well as collectively negotiating against them. By using self-help remedies, they seek to pay fair rates for only the patents needed for their technology. This type of cooperation may ideally foster competition and innovation where patent abuses undermine both goals. The problem is, ironically, that combining against a monopolist is likely anticompetitive. Antitrust condemns collusion to manipulate prices-here, licensing rates-even when done against a monopolist. This renders a troubling outcome where Big Pharma, Big Tech, and others can insulate their monopoly power using the very laws meant to condemn monopolies. While debate has emerged about patent abuses, an equally salient issue involves whether antitrust should condemn firms who collude against patent holders and monopolists. Using economic and historical evidence, this Article argues that antitrust law should allow firms to defend an antitrust claim by citing their rival's market power. Our models show that powerful rightsholders do, in fact, harm competition and innovation in ways not meant to protect original technology. We then find that the benefits of collusion among smaller firms were advanced by the Sherman Act's drafters, whose comments are critical to shaping and understanding modern antitrust. Support even comes from the labor arena: Congress excluded workers from antitrust law-as labor unions were once considered a form of collusion-so that workers could counterbalance their employers' dominance with their own market power. As such, given the practical and theoretical difficulties of remedying anticompetitive abuses of patent rights under the antitrust laws, we assert that taking antitrust out of patent law would allow competition to flourish in dynamic markets while enhancing the patent system's incentives to innovate.",2021,Government & Law,1
