Article Title,Keywords,Abstract,Publication Year,Research Areas
Patenting Bioprinted Structures in a Clime of Moral Uncertainty: Time to Amend the Patents Act?,; TISSUE CONSTRUCTS; MYRIAD-GENETICS; 3D; ETHICS; POLICY; CELLS,"The role of morality in Australia's patent regime has remained largely uncertain owing in part to a general reluctance to engage with the general inconvenience proviso. The prevailing view is that matters of morality and indeed ethics are within the exclusive purview of the legislature. Unfortunately, despite repeated attempts at law reform, the situation remains largely unchanged. Drawing from the words of the Australian Law Reform Commission in its 2004 Genes and Ingenuity Report, it appears there has been no compelling case for amending the Patents Act 1990 (Cth) to allow expressly for the exclusion of particular subject matter from patentability on social or ethical grounds. More than a decade on, the question is whether this statement holds true. Accordingly, this article evaluates the current ethical exclusions in Australia's patent regime in light of the dilemma posed by patenting bioprinted structures and considers whether this presents a compelling enough case for the amendment of the Patents Act 1990.",2019,Government & Law
PUBLIC ENFORCEMENT OF PATENT LAW,; PRIVATE ENFORCEMENT; LITIGATION; STANDARDS; AGENCIES; LEGITIMACY; QUALITY; RIGHTS; STATE,"Law enforcement in the modern regulatory state is largely a joint enterprise. In areas such as securities, antitrust, civil rights, and environmental law, enforcement responsibilities are allocated between public and private actors. Patent law, on the other hand, is enforced almost exclusively through private lawsuits. Considering patent law's constitutionally mandated public purpose- to promote the Progress of Science and useful Arts -this privatization of patent enforcement is troubling. In recent years, there has been some movement away from this purely private enforcement scheme for patent law. The Department of Justice and the Federal Trade Commission, for example, have involved themselves in certain patent matters that implicate antitrust law. Although this is a step in the right direction, these regulators alone cannot adequately enforce patent law due to their limited jurisdiction, resources, and expertise. This Article thus proposes a robust public enforcement regime for patent law. It argues that Congress should arm the U.S. Patent and Trademark Office (PTO), the agency responsible for reviewing patents ex ante, with broad powers to police patent validity ex post. The PTO is best situated to lead this effort because of the agency's expertise, institutional resources, and enhanced powers under the America Invents Act. Moreover, charging the PTO with the responsibility for policing patents should serve to dispel allegations of agency capture and institutional bias toward patent owners.",2016,Government & Law
Claim construction under US and German patent acts: wording used in the claims and the invention disclosed in the specification,; LAW,,2019,Government & Law
Employment Nondiscrimination Acts and Corporate Innovation,innovation; patents; employment nondiscrimination acts; ENDAs; sexual orientation; WRONGFUL-DISCHARGE LAWS; MARKET VALUE; GAY; MIGRATION; COSTS; STATE,"We show that U.S. state-level employment nondiscrimination acts (ENDAs)-laws that prohibit discrimination based on sexual orientation and gender identity-spur innovation. We find a significant increase in patents and patent citations for firms head-quartered in states that have passed ENDAs relative to firms head-quartered in states that have not. This result is more pronounced for firms that previously have not implemented pro-gay nondiscrimination policies, for firms in states with a large homosexual population, and for firms in human capital-intensive industries. Lastly, we provide evidence suggesting that ENDAs affect innovation by matching employees, who are generally more creative than anti-gay employees, with innovative firms.",2017,Business & Economics; Operations Research & Management Science
THE AMERICA INVENTS ACT: A NEW PATENT SYSTEM FOR THE 21ST CENTURY,America Invents Act; first inventor to file; prior art; post-grant procedures; ,"From its first patent statute, the United States awarded patents to the first person to invent. The rest of the world eventually adopted first to file regimes, in which the first person to file a patent application was awarded the patent. In 2013, the United States moved closer to harmonizing with the rest of the world. The America Invents Act created a first inventor to file system, representing the most dramatic change in US patent law in over fifty years. This chapter explores the new provisions by offering a basic operation of how they operate. It then discusses the myriad of new administrative procedures at the United States Patent and Trademark Office that were created in the America Invents Act. These procedures have the potential to challenge patents more cheaply than in litigation. The chapter discusses the various requirements and limitations of these provisions.",2016,Business & Economics
Impact of America Invents Act on Biotech Intellectual Property,; ,"This reviewintroduces the America Invents Act (AIA), a comprehensive reform of U.S. lawon patentability and patent enforceability that Congress enacted in 2011. The AIA's most publicized change transforms the United States from a first-to-invent system to a first-inventor-to-file regime, bringing U.S. patent law more in line with the patent systems of nearly every other industrialized country in the world. This new system requires small companies and independent inventors to toe the line against larger competitors in what many have called a race to the patent office. But a closer look at the AIA reveals several opportunities for smaller entities that may even the playing field, particularly for innovators in the biotech sector. This article addresses changes that the AIA brings to U.S. patent law, keeping an eye toward issues relevant to biotech companies.",2015,Research & Experimental Medicine
STEM CELL AND BIOTECHNOLOGICAL PATENTABILITY AND RESEARCH IN THE EUROPEAN UNION: AN INTERDISCIPLINARY APPROACH,; ,"Stem cell and biotechnological research is a flourishing industry around the globe. The growth of the industry can be attributed to its promise to lead to a cure for numerous human diseases that are currently considered unconquered. Within this industry, the patentability of researched innovations has been a hot topic in the past decade. Through the patenting process, the industry itself can be a source of economic opportunity for countries willing to extend patent protection for the inventions produced by stem cell and biotechnological research. Because it takes significant resources for research to produce a patentable invention, investors desire assurances that their time and money will head a result from which they can benefit, whether that be a financial benefit, a status benefit, or some other benefit. Despite the medical promises of stem cell and biotechnological research, there are concerns in some places around the world such as the European Union about potential policy implications that would stem from patenting innovations in this industry. These concerns are displayed in the two leading sources of law governing stem cell and biotechnological research: the European Union's Directive 98/44/EC and the European Patent Convention. This Article discusses the patentability of stem cell and biotechnological inventions under both European Union law and the European Patent Convention. The Article continues by discussing several other topics that a practitioner must be familiar with when analyzing a patentability issue. A few of these topics include the morality debate, the promise of stem cell and biotechnological research, taxation of stem cell-related products, access to records, legal notice, research funding, and the free movement of goods. This Article also examines the key case law from both the European Court of Justice as well as the two judicial organs of the European Patent Office, the Board of Appeal and the Enlarged Board of Appeal, that provide insight into this area of law. Additionally, this Article identifies the discrepancies between the law governing stem cell research and biotechnological research within the European continent and provides recommendations for greater harmonization within these two areas of law.",2018,Government & Law
Intellectual Property from a Global Environmental Law Perspective: Lessons from Patent Disclosure Requirements for Genetic Resources and Traditional Knowledge,Intellectual property; Patents; Traditional knowledge; Disclosure requirements; Convention on Biological Diversity (CBD) Nagoya Protocol; Genetic resources; ,"This commentary considers the intellectual property (IP) system from a global environmental law perspective by exploring the extent to which patent-related treaties, such as the World Trade Organization Agreement on Trade-Related Aspects of Intellectual Property Rights and the World Intellectual Property Organization Patent Cooperation Treaty, can facilitate implementation of global environmental standards in the field of biodiversity law. It provides practical guidance to countries that wish to introduce patent disclosure-related mechanisms into their legal systems with a view to mainstreaming instances of global justice, fairness and equity, and raises awareness of the limitations arising from their extant IP obligations. Global environmental law standards have exercised an undeniable influence on the political discourse in international IP policy making in the field of patent disclosure. Still, many patent disclosure requirements that pre-date the Nagoya Protocol apply only to genetic resources the provenance of which is the same country that established the requirement. However, if a country designates its patent or IP office as a compliance checkpoint under the Nagoya Protocol, then the disclosure requirement should encompass at least the genetic resources originating from all countries that are contracting parties to this instrument. This could allow the fulfilment of a core monitoring obligation of the latter, while enabling wider synergies and transparency within the IP system.",2019,Environmental Sciences & Ecology; Government & Law
ADMINISTRATIVE ACTAVIS,; HATCH-WAXMAN ACT; CORPORATE-CONTROL; SHAREHOLDERS; MARKET; GOVERNANCE; GREENMAIL; PAYMENT; DELAY; NO,"The cost of prescription drugs, a function of the nexus of patent law and antitrust law, has recently been thrust into the spotlight. In the shadow of the Federal Trade Commission's vigorous challenges to anticompetitive agreements between branded manufacturers and their potential generic competitors, a new player entered the administrative patent invalidity arena- noncompetitors, such as hedge fund managers, who, despite their reputation for seeking profit at all costs, asserted a seemingly puzzling altruistic interest in invalidating certain patents that prevent generic competitors from entering the market. In light of abuse of process accusations and calls for sanctions, this Note suggests that corporate law may facilitate an understanding of the role of noncompetitors in patent invalidation. Using the corporate law phenomenon of greenmail as an analogy, this Note argues that noncompetitors may actually facilitate competition and, as such, should be permitted to continue filing administrative patent challenges.",2016,Government & Law
Do Patent Challenges Increase Competition?,; GENERIC ENTRY; SETTLEMENT; INNOVATION; HOLDUP; PORTFOLIOS; LITIGATION; ACCURACY; PAYMENT; ACTAVIS; TROLLS,"As a general rule, judges and scholars believe settlement is a good thing. But for nearly a century, the Supreme Court has said that patent litigation is categorically different, since it offers the chance to increase competition by freeing the public from the burdens of a monopoly. Based on this theory, and in the hopes of seeing more patent litigation fought to completion, the Court has overturned long-standing common-law doctrines, declined to enforce otherwise-valid contracts, and in the recent case of Federal Trade Commission v Actavis, Inc-subjected patent settlements to scrutiny under the antitrust laws. Similar reasoning has resulted in legislative initiatives to encourage patent challenges, including the regulatory bounty for challenging pharmaceutical patents included in the 1984 Hatch-Waxman Act and the administrative review procedures created by the 2011 America Invents Act. Moreover, scholars continue to call for reforms to provoke additional patent challenges, again asserting their supposed procompetitive benefits. This Article is the first to seriously scrutinize the claim that patent challenges lead to increased competition. It identifies a number of conditions that must hold for a patent challenge to provide this particular benefit, and evaluates the reasonableness of assuming that the procompetitive benefits of patent challenges are generally available. As it turns out, there are a number of ways these conditions can and regularly do fail. This Article synthesizes legal doctrine, recent empirical scholarship, and several novel case studies to identify categories of challenges in which the potential benefits for competition are smaller than previously thought or, in some cases, completely unavailable. This analysis has a number of implications for patent law and policy. First, it provides guidance for how the Patent Office should administer its new review authority under the America Invents Act. Second, it exposes weaknesses in judicially created policies intended to encourage more patent challenges. Third, it vindicates the present scope of the regulatory bounties provided under the Hatch-Waxman Act and cautions against recently proposed expansions of these incentives to other technology areas. Fourth, it sheds new light on the competitive consequences of patent settlements, and thus informs how the Court's recent Actavis decision should be applied in future cases.",2016,Government & Law
How Antitrust Law Can Make FRAND Commitments More Effective,; PATENT HOLDUP,"Much attention has been paid in recent years to legal issues arising from standard setting, assertion of standard-essential patents, and the requirements imposed by standard-setting organizations that standard-essential patents be licensed on reasonable terms. This Feature argues that a fundamental aspect of the antitrust laws, heretofore overlooked in this context, can play an important role in ensuring that the rules established by standard-setting organizations are effective in preventing owners of standard-essential patents from engaging in patent holdup. It has long been a basic principle of antitrust law that when firms collaborate to engage in conduct that has efficiency benefits, like standard-setting, they violate the antitrust laws if their collaboration also harms competition more than necessary to obtain the efficiency benefits. Both standard-setting organizations and their members can violate Section 1 of the Sherman Act if the organization's rules are ineffective in preventing owners of standard-essential patents from exploiting the monopoly power they gain as a result of the standard.",2018,Government & Law
Multi-party patent infringement litigation in China,direct infringement; indirect infringement; joint torts; multi-party infringement; patent; ,"Recently, parties have begun to implement patents separately to avoid legal liability in China. Multi-party infringing behaviours are more complicated to legally characterize than single-party patent infringement. Before the recently proposed legislative reform, the Patent Law of China did not clearly define indirect infringement. Chinese courts usually apply the joint torts rules to deal with those cases. However, by mixing the rule of joint injurious act with the rule of indirect patent infringement, the courts tend to confuse the two. Moreover, the newly drafted Revision of Patent Law, though it proposes adopting the indirect infringement concept, still borrows the joint torts rules to allocate liabilities. In these circumstances, it is necessary to clarify the relationship between joint torts and indirect infringement, and thus to clarify the rules for multi-party patent infringement.",2019,Government & Law
HOVERING BETWEEN INTERGOVERNMENTALISM AND UNIONIZATION: THE SHAPE OF UNITARY PATENTS,; ,"The unitary patent package is shielded against external judicial review in multiple ways. The norms providing the unitary patent its substantive contents, the Agreement on a Unified Patent Court (AUPC) and the European Patent Convention (EPC), are largely shielded from judicial review. European Patent Office (EPO) decisions cannot be subjected to direct scrutiny before EU courts either. Whereas the unitary patent and EPC systems will likely converge based on shared expert rule, EU law is at the same time subjected to fragmentation. Its core principles concerning legality and judicial review are being undermined in the process. However, through the preliminary ruling procedure, general EU norms and legal principles may still affect the package considerably more than envisioned by the architects thereof. Moreover, Brexit will require re-opening the package, and might open a window of opportunity for a political process leading to an improved design mending the current systemic defects.",2017,International Relations; Government & Law
The Right to Priority in Article 4A (1) of the Paris Convention and Article 87 (1) of the European Patent Convention,; ,,2019,Government & Law
Nanomedicines: Addressing the Scientific and Regulatory Gap,nanomedicine; nanosimilars; nanopharmaceuticals; regulation; patents; US Patent & Trademark Office (PTO); patent laws; patent classification; Commercialization; FDA regulation; invention; patent thickets; Bayh-Dole Act; European Medicines Agency (EMA); Food and Drug Administration (FDA); Doxil (R); Nanotechnology Characterization Laboratory (NCL); post-blockbuster world; Abraxane (R); monoclonal antibodies (mABs); nanotechnology; non-biologic complex drug (NBCD); follow-on biologics; biosimilars; immunogenicity; pharmacokinetics; pharmacodynamics; Abbreviated New Drug Application (ANDA); New Drug Application (NDA); bioequivalence; PEGYLATED LIPOSOMAL DOXORUBICIN; TUMOR-NECROSIS-FACTOR; COMPLEX-DRUGS NBCD; COLLOIDAL GOLD; PRODUCTS; NANOPARTICLES; DELIVERY; PHARMACOKINETICS; ACTIVATION; STRATEGIES,,2016,Business & Economics; Engineering; Science & Technology - Other Topics; Government & Law; Research & Experimental Medicine
Causal Responsibility and Patent Infringement,; ,"It is not uncommon for multiple parties in the stream of commerce-manufacturers, distributors, end users-to be involved in the infringement of a single patent. Yet courts continue to struggle with such scenarios. Attempts to deal with them-particularly when plaintiffs asserted so-called method patents, which cover specific steps, or actions-have produced results that defy commonsense notions of legal responsibility. In method patent cases, the patentee must clear much higher legal hurdles to prevail against a manufacturer who designed and supplied an infringing device than against an end user who simply bought that device and operated it as intended. The manufacturer can lose only upon proof of fault, while the user is subject to strict liability-a result that seems backwards because the manufacturer is clearly the more responsible party. Even greater difficulties arise when the manufacturer performs some steps of a method patent and the user performs the others, giving rise to a so-called divided infringement problem. One such case, Akamai v. Limelight, has been in litigation for over ten years and generated multiple appellate opinions, including a decision by the Supreme Court. Although the Court of Appeals for the Federal Circuit finally resolved Akamai in a fact-specific fashion, no comprehensive solution to the divided infringement problem is in sight. I explain that these problems persist because patent law formalistically clings to what I term the performer/non-performer distinction, which holds that physical performance of an act is the linchpin of legal accountability. I then contend that they can be solved by reading the Patent Act in view of the principle of causal responsibility, which pervades the law and rests on a firm philosophical foundation. Simply put, this principle holds that one is responsible for the actions of others that one has caused, leading to the legal effect of imputing the act of the causee (in patent cases, often the user) to the causer (e.g., the manufacturer). I draw on examples from criminal law and tort law to elucidate this principle and demonstrate its consistency with the Patent Act. I also maintain that applying causal responsibility in patent law would lead to three practical and sensible results. First, doing so would effectively lower the mens rea barriers needed to establish the liability of manufacturers who supply devices configured so that their only intended use by a passive customer results in the performance of steps of some method patent. Second, it would provide a path for resolving the vexing problem of divided infringement exemplified by Akamai. Third, the proposed approach may in some cases help to shift the burden of ensuring compliance with existing patents from end users to manufacturers, which is as it should be.",2017,Government & Law
TRADITIONAL KNOWLEDGE AND INTELLECTUAL PROPERTY RIGHTS,traditional knowledge; intellectual property rights; patent; copyright; TRIPS; ,"This paper is devoted to the analysis of possible options to ensure the protection of traditional knowledge through existing laws and legal systems in the field of intellectual property. For this purpose, the common problems that indigenous peoples and local communities face, when trying to ensure the protection of their traditional knowledge with the help of intellectual property law tools, are addressed. Separately, the possibility of using copyright, patents, industrial designs, trademarks, geographical indications, legislation on trade secrets and unfair competition are analyzed in detail. Examples are given for the implementation of traditional knowledge protection through intellectual property rights at the national level in selected countries, such as Peru, Mexico, Venezuela, Vietnam, and Ethiopia. Considerable attention is paid to the interpretation of the provisions of existing international legal acts in the field of intellectual property, in particular, the Agreement on Trade-Related Aspects of Intellectual Property Rights (TRIPS), as well as the Bern Convention for the Protection of Literary and Artistic Works. It is concluded that traditional intellectual property regimes do not provide adequate protection for traditional knowledge since contractual intellectual property rights are based on the concepts of an individual property.",2019,Social Sciences - Other Topics
(A)rising Above the Well-Pleaded Complaint: A Proposal to Reconsider the Jurisdictional Analysis of the Federal Circuit After the America Invents Act,; VORNADO,"At the intersection of civil procedure and patent law lies the unique appellate jurisdiction of the Federal Circuit. Congress granted the Federal Circuit jurisdiction over patent law appeals in 28 U.S.C. 1295 (a) (1) with the passage of the Federal Courts Improvement Act in 1982. Since then, the Supreme Court has interpreted this statute by imposing a variation of the well-pleaded complaint rule onto patent law. Unfortunately, this interpretation has caused a few problems in the Federal Circuit's jurisprudence. First, it allows for jurisdiction to exist in cases where no patent claims exist because they have been rendered moot by settlement, dismissal, or motion. This aspect of the caselaw fails to account for the inherent differences between appellate and original jurisdiction. Second, it creates a complex and inconsistent analysis for litigants and courts to wade through, which wastes valuable resources. Third, under this rule, parties are able to manipulate appellate jurisdiction by modifying the language of their settlement agreements. The America Invents Act amended 28 U.S.C. 1295 in 2011, but it did not directly address these problems. Nonetheless, this Note argues that the amended version of the statute should be read to support a repudiation of the well-pleaded complaint rule in patent law. In its place, this Note asserts that jurisdiction should be assessed based on the procedural posture of the case at the time of appeal rather than the filing of the complaint, and jurisdiction should only lie in the Federal Circuit when there is a live patent case or controversy.",2015,Government & Law
The impact of international patent systems: Evidence from accession to the European Patent Convention,European Patent; Accession; Patents; Middle income countries; Regional patent system; INTELLECTUAL PROPERTY-RIGHTS; INNOVATION; PROTECTION; TECHNOLOGY,"We analyze the impact of accession to the regional patent system established by the European Patent Convention (EPC) on 14 countries that acceded between 2000 and 2008. We look at changes in patenting behavior by domestic and foreign applicants at the national patent offices and the European Patent Office (EPO). We find a strong change in patent filing behavior among foreigners seeking patent protection in the accession states, substituting EPO patents for domestic patents immediately. However, there is no discernible reaction among domestic entities in terms of domestic filings, although we do find some evidence that applicants in accession states increased their propensity to file patents with the EPO post-accession. Inventors in accession countries also increase their patent filings slightly post-accession, both at the EPO and at the national offices.",2019,Business & Economics
"BOUNDARIES, EXTRATERRITORIALITY, AND PATENT INFRINGEMENT DAMAGES",; LAW,"Patents are generally considered to be the most territorial of all the various forms of intellectual property. Even patent law, however, has confronted issues involving the application of a U.S. patent to extraterritorial activity. The Supreme Court has expressed an interest in both issues the extraterritorial application of U.S. law and patent law. At times, these interests have intersected. Notwithstanding the Court's recent elaborations on extraterritoriality, the approach by the U.S. Court of Appeals for the Federal Circuit has been, at best, inconsistent. At times the court has afforded extraterritorial protection, even in the face of strong territorial language in the patent statute itself. At other times, however, it has approached the issue of extraterritoriality more restrictively, even when the statute itself expressly contemplates the regulation of activities outside of the United States. This dynamic has been addressed by myself and other scholars. More recently, however, the Federal Circuit has addressed the issue of patent damages for extraterritorial activities. These scenarios have arisen because there necessarily has been an act of domestic patent infringement. The damages theory advocated by the patent holder, however, has attempted to ensnare overseas sales, either under a lost-profits or reasonable-royalty theory. Additionally, the Federal Circuit has begun to address the appropriate scope of damages for infringement under section 271(f) of the Patent Act, a provision that defines infringement as the exportation of all the components of an invention, or a single component with no substantial noninfringing use, where it is to be assembled abroad. Necessarily, this provision contemplates the regulation of foreign markets through the domestic hook of acts of exportation. The Federal Circuit, nevertheless, rejected the patentee's requested remedy in this case. This Article turns to the issue of the extraterritorial reach of patent damages. It analyzes the Federal Circuit's recent pronouncements using the two-step method articulated by the Supreme Court in RJR Nabisco, Inc. v. European Community. This analysis suggests that damages for infringement under various aspects of the Patent Act can be treated differently with respect to extraterritoriality. This Article goes on to suggest that the Federal Circuit's approach lacks nuance to account for the particular economic and legal circumstances that differentiate the different infringement provisions at stake. It draws on earlier work where I advocated for a conflicts-based approach to extraterritorial application of U.S. patents, and extends that work to these scenarios, offering a more balanced approach to assessing whether damages are appropriate in these circumstances. Finally, this Article explores whether the various damages theories involved in these cases, regardless of the territorial limits, suggest it is time to revisit the foreseeability/proximate cause aspect of Rite-Hite. The theories of damages seem quite far removed from the actual acts of infringement, even if they occurred within the United States. Some scholars have begun work on this enterprise, and these cases suggest such consideration is ripe.",2017,Government & Law
Identifying and Preventing Biopiracy in Australia: patent landscapes and legal geographies for plants with Indigenous Australian uses,Indigenous knowledge; Aboriginal and Torres Strait Islander peoples; biological resources; patent trends; legal geography; biopiracy; access and benefit-sharing; Nagoya Protocol; NORTHERN AUSTRALIA; MYOPORACEAE; KNOWLEDGE; ECOLOGY; LAND,"There are legal and moral imperatives to protect biological resources and the traditional knowledge' associated with them. These imperatives derive from complex legal geographies: international law (such as the Convention on Biological Diversity and the Nagoya Protocol), State and federal laws, Indigenous customary law, codes of ethics and research protocols. This paper reports on a patent landscape' analysis of patents that refer to Australian plant species for which there is Indigenous Australian knowledge. We have identified several patents of potential new biopiracy concern. The paper highlights the way in which actors can gain private property monopolies over biological resources and associated traditional knowledge, even though there are overlapping sovereign rights and Indigenous rights claims. Regulatory gaps need to be closed nationally to fully govern the diverse human-plant bio-geographies in Australia. Further, Indigenous laws and governance have largely been ignored by these actors. We suggest that the introduction of disclosure of origin' requirements in patent applications, sui generis Indigenous knowledge protections, the development of biocultural protocols, and a more nationally consistent system for access and benefit-sharing' are required to ensure more fair and equitable' use of plants and Indigenous knowledge in/from Australia, and to ensure the recognition of Indigenous rights to knowledge.",2017,Geography
Research Use Exemptions to Patent Infringement for Drug Discovery and Development in the United States,; ,"Experiments with patented compounds or processes are sometimes necessary for Food and Drug Administration approval of a small-molecule drug, biologic, or medical device. The law exempts certain research and development activities using these patented compounds or processes. The two exemptions are (1) a judicially created exemption developed through case law and (2) an exemption created by the Hatch-Waxman Act (the safe harbor provision). This article analyzes the history of these exemptions and how the courts have interpreted their scope and provides future perspectives on protecting research and development activities from liability.",2015,Research & Experimental Medicine
"The Hamiltonian Origins of the US Patent System, and Why They Matter Today",; ADMINISTRATIVE-LAW,"I revisit one of the earliest administrative functions of the United States government, the granting of patents, to show why the U.S. Patent Office fits so poorly with the contemporary model of an Executive Branch agency in the modern Administrative State. In parallel with other early proto-agencies the Patent Office participated in the most important job of the new national government: economic development. Because of the importance of this policy, and the limited power of the new federal government, Congress, courts, and the executive branch emphasized concerted action rather than separation of powers. The Patent Office had been performing its basic function for nearly one hundred years when the modern administrative revolution began its sweep though the federal government. The modern administrative state was created to counterbalance the emergent power of large, concentrated industries; it had little relationship to the original Patent Office mandate from Hamiltonian times. As a consequence, contemporary administrative law is a poor fit for the Patent Office. Administrative law, especially the Administrative Procedure Act (APA), governs power relations between federal agencies and the industries they regulate, with courts often acting as referee. But the Patent Office grants government-sanctioned property rights to dispersed inventors in an extremely wide variety of industries, and lets private investment, transactions, and enforcement take over. Since its founding, the Patent Office has been charged not with regulating concentrated industry, but with handing out a small dollop of state power to dispersed parties in the form of individual property rights. Although some features of the modern administrative apparatus surely apply to the Patent Office it is overall best left to the looser-fitting understandings of the Hamiltonian economic development state.",2019,Government & Law
