Topic,Words
Topic 32,"generic_entry, drug_registration, nih_funding, asthma_copd, insulin_glargine, local_formulary, drugpatentwatch, authorize_generic_drug, product_approve, competitive_pricing"
Topic 33,"cell, pathway, network_pharmacology, rat, signaling_pathway, molecular_docking, ali, target, vitro, antiinflammatory"
Topic 34,"patient, artery, graft, aneurysm, patient_undergo, stroke, surgery, rao, pfo, stent"
Topic 35,"brand_drug, settlement, stay_period, rems_patent, generic, generic_manufacturer, deter_generic, application_cite, australia, entry"
Topic 36,"digital_health, detailing, unani_medicine, health, pediatric, health_care, physician, therapeutic_hazard, lrss, mea"
Topic 37,"biosimilar, biologic, biologic_biosimilar, belgian, patent_thicket, reference_product, biologics_price, biosimilar_manufacturer, brand_biologic, biosimilar_naming"
Topic 38,"followon_pharmaceutical, epogen, insulin, sham_exception, personalised_medicine, pharmacoeconomic_evaluation, reformulation, nipt, secondary_pharmaceutical, reformulate_drug"
Topic 39,"disclosure_obligation, disclose_knowledge, secrecy, gsd, trade_secret, genetic, incompatibility, recognize_structural, public_privilege, freedom_of_speech"
Topic 40,"investment_persistence, stock_price, extend_nondisclosure, crash_risk, concept_learning, datum_breach, standard_nondisclosure, bounty, bounty_claim, aia"
Topic 41,"eu13_develop, eu14_develop, poul_henningsen, marine, intellectual_creation, intellectual_capital, square, forerunner, market_undoubtedly, foster_debt"
Topic 42,"source_disclosure, um, outlicense, game_conclusion, closing_price, lot_offer, examination_authority, depreciation, startup, firstmover_advantage"
Topic 43,"legal_form, debt_financing, female_male, low_capital, innovative_firm, lender, expenditure_disclosure, asymmetry, bank, startup_survival"
Topic 44,"patentable_subject, supreme_courts, principle_of_neutrality, sequence_datum, personal_genomic, technological_neutrality, matter_jurisprudence, tcm, neutrality, software"
Topic 45,"halfcausation, suigenericide, soft_ip, firsttofile, imaginary, philosophical_model, alternative_nearby, copyright_trademark, firsttoinvent, life_table"
Topic 46,"claim_construction, postaipa, parent_application, central_claiming, 103, assignment_law, accession, aipa, patent_assertion, claim"
Topic 47,"finland, examination_outcome, journal, 5year_citation, weight_assign, citation_frequency, propose_broadening, indicator_sjr, cite_reference, average_return"
Topic 48,"university, commercialization_of_academic, university_patenting, academic_promotion, academic, spinoff, universityindustry_collaboration, commercialization_of_university, incubator, commercial_orientation"
Topic 49,"st, firm_engagement, government_scientist, scientific_discovery, academic_scientist, government_funding, science_technology, camelina, science_linkage, replicability"
Topic 50,"ip_commercialisation, export, ip_treaty, linkage_mechanism, key_laboratory, knowhow_reputation, exporter, de_jure, human_resource, georgia"
Topic 51,"tariff, bilateral_trade, international_criminal, national_flexibility, international_trade, trade, deportation, fet, needsbased_hierarchy, object_purpose"
Topic 52,"computer_program, chomsky, registry, intellectual, source_code, physicalism, property, properly, g20, legal_personality"
Topic 53,"trademark, tm_logo, transfer_learning, protect_consumer, registration, video_game, trademark_owner, mark, pto, trademark_logo"
Topic 54,"stable_outcome, forfeiture_mechanism, deviation, social_media, spillover_parameter, distinguishable, artistically, barbecue_device, exploitation_of_creative, design3"
Topic 55,"supplier, innovation_performance, organizational_performance, emotional_behavioral, appropriability_mechanism, patent_portfolio, learning, entrepreneurship, formal_appropriability, emotional_insecurity"
Topic 56,"technical_feature, grantback_clause, solicitor, administrative_procedural, authorship_screen, boundary_screen, designs_patents, copyright, copyright_subsist, earnout"
Topic 57,"ipr_protection, ipr, intercultural_proximity, mnes, strong_ipr, south, social_fragmentation, country_image, cash_holding, migration"
Topic 58,"technical_phrase, keyword, query, knowledge_exploration, deep_learning, topic_change, candidate_phrase, text_mining, technological_trajectory, weight"
Topic 59,"patent_schism, hybrid_pae, hybrid_paes, patent_privateer, pto, litigate, nuisance, lowvalue, newuse_patent, earlystage"
Topic 60,"federal_circuit, judge, court, district_court, supreme_court, courts, litigation, adjudication, plaintiff, administrative_law"
Topic 61,"ith_region, incumbent, cross_licensing, legal_sphere, costreduce_innovation, unit_royalty, taxsubsidy_scheme, imitation, ifs, collusion"
Topic 62,"pledge, evaluation_purpose, trust_equity, core_competence, human_inventorship, evaluation_process, maximize, trust, foresight_bias, knowledge_adaptability"
Topic 63,"subsidy, corporate_tax, growth_welfare, monetary_policy, patent_breadth, economic_growth, inflation, inequality, quality_step, privatization"
Topic 64,"strong_debtor, coordination_requirement, reasonability, employee_representation, external_financing, future_timing, leisure_time, plural_sourcing, insourcing, local_employee"
